country_code,month_end_date,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,SENT_ORTH_DIV_PREMIUM_fitted,SENT_ORTH_DIV_PREMIUM_innovation,SENT_ORTH_DIV_PREMIUM_innovation_lag
SWE,2007-03-31,-0.11780500652152896,-0.2820179335514272,-0.22879533999933707,0.11099033347780811,0.04113618826371501
SWE,2007-04-30,-0.2584399222211771,-0.11780500652152896,-0.09845039051140009,-0.15998953170977703,0.11099033347780811
SWE,2007-05-31,-0.24696350807668588,-0.2584399222211771,-0.2100801587316169,-0.03688334934506898,-0.15998953170977703
SWE,2007-06-30,-0.4195861519123882,-0.24696350807668588,-0.20097068940406512,-0.21861546250832306,-0.03688334934506898
SWE,2007-07-31,-0.4121749366538167,-0.4195861519123882,-0.337990899677414,-0.07418403697640269,-0.21861546250832306
SWE,2007-08-31,-0.5165422190515921,-0.4121749366538167,-0.3321082052026554,-0.18443401384893676,-0.07418403697640269
SWE,2007-09-30,-0.36596920667136684,-0.5165422190515921,-0.4149503321799941,0.048981125508627266,-0.18443401384893676
SWE,2007-10-31,-0.5295652984247982,-0.36596920667136684,-0.29543214291238795,-0.2341331555124102,0.048981125508627266
SWE,2007-11-30,-0.02438841896068071,-0.5295652984247982,-0.42528747587373555,0.40089905691305483,-0.2341331555124102
SWE,2007-12-31,-0.4776859180170992,-0.02438841896068071,-0.02430044015616859,-0.4533854778609306,0.40089905691305483
SWE,2008-01-31,-0.8081663809420805,-0.4776859180170992,-0.38410792112725817,-0.4240584598148223,-0.4533854778609306
SWE,2008-02-29,-0.41271577167766105,-0.8081663809420805,-0.646428677634228,0.2337129059565669,-0.4240584598148223
SWE,2008-03-31,-0.5337628697249148,-0.41271577167766105,-0.33253749609430033,-0.2012253736306145,0.2337129059565669
SWE,2008-04-30,-0.6253695198844977,-0.5337628697249148,-0.4286193220869518,-0.19675019779754593,-0.2012253736306145
SWE,2008-05-31,-0.6328799862306493,-0.6253695198844977,-0.5013326242841409,-0.1315473619465084,-0.19675019779754593
SWE,2008-06-30,-0.5930410896687247,-0.6328799862306493,-0.5072940998769957,-0.08574698979172901,-0.1315473619465084
SWE,2008-07-31,-0.7529946011265458,-0.5930410896687247,-0.47567174800774387,-0.27732285311880195,-0.08574698979172901
SWE,2008-08-31,-0.8370033556968552,-0.7529946011265458,-0.6026357620380878,-0.23436759365876747,-0.27732285311880195
SWE,2008-09-30,-0.8067174069772834,-0.8370033556968552,-0.6693181911809396,-0.13739921579634384,-0.23436759365876747
SWE,2008-10-31,-0.04828979631705899,-0.8067174069772834,-0.6452785462671863,0.5969887499501273,-0.13739921579634384
SWE,2008-11-30,0.4232721001891469,-0.04828979631705899,-0.04327229505552145,0.46654439524466834,0.5969887499501273
SWE,2008-12-31,0.2772330436912541,0.4232721001891469,0.33103265579250846,-0.053799612101254335,0.46654439524466834
SWE,2009-01-31,0.10826102515485891,0.2772330436912541,0.21511331992306115,-0.10685229476820224,-0.053799612101254335
SWE,2009-02-28,0.27184625104934057,0.10826102515485891,0.0809908143483864,0.19085543670095417,-0.10685229476820224
SWE,2009-03-31,0.6702608864919481,0.27184625104934057,0.21083752247208232,0.45942336401986583,0.19085543670095417
SWE,2009-04-30,0.3053380224254495,0.6702608864919481,0.5270814167336246,-0.22174339430817513,0.45942336401986583
SWE,2009-05-31,0.20273164460648196,0.3053380224254495,0.23742180744427352,-0.034690162837791555,-0.22174339430817513
SWE,2009-06-30,0.42514704411604803,0.20273164460648196,0.15597740854187495,0.26916963557417306,-0.034690162837791555
SWE,2009-07-31,0.3276049279037699,0.42514704411604803,0.33252090325185824,-0.004915975348088353,0.26916963557417306
SWE,2009-08-31,0.16949571817305473,0.3276049279037699,0.25509629094760883,-0.0856005727745541,-0.004915975348088353
SWE,2009-09-30,0.42459241977401496,0.16949571817305473,0.1295962019553733,0.29499621781864166,-0.0856005727745541
SWE,2009-10-31,0.4953775083725295,0.42459241977401496,0.3320806670100798,0.16329684136244965,0.29499621781864166
SWE,2009-11-30,0.5381124303788923,0.4953775083725295,0.3882667356999866,0.14984569467890574,0.16329684136244965
SWE,2009-12-31,0.3819373392835715,0.5381124303788923,0.4221878243197401,-0.040250485036168626,0.14984569467890574
SWE,2010-01-31,0.46338530946485446,0.3819373392835715,0.2982229530499696,0.16516235641488486,-0.040250485036168626
SWE,2010-02-28,0.35948812899784155,0.46338530946485446,0.3628727449463251,-0.003384615948483549,0.16516235641488486
SWE,2010-03-31,0.2544518075139141,0.35948812899784155,0.28040376406368,-0.025951956549765898,-0.003384615948483549
SWE,2010-04-30,0.2350265863798433,0.2544518075139141,0.19703058348741195,0.03799600289243135,-0.025951956549765898
SWE,2010-05-31,-0.09311863641253984,0.2350265863798433,0.1816117031756843,-0.2747303395882241,0.03799600289243135
