return_horizon_months,return_leg,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
6,long_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-2.8426285435066534,-1.357392138918938,1.357392138918938,-1.348791128380943,1.348791128380943,0.36363636363636365,0.36363636363636365,0.7580221647468566,235,283.0
6,long_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,-2.630837734057403,-1.303296589065082,1.303296589065082,-1.2538133073589928,1.2538133073589928,0.2727272727272727,0.18181818181818182,0.7528455456452007,235,283.0
6,long_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-1.5296690241109503,-1.0399348170829834,1.0399348170829834,-1.0109179016033065,1.0109179016033065,0.18181818181818182,0.18181818181818182,0.7494025083934439,235,283.0
6,short_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,1.490442892878611,1.2786917025745268,,1.2889121095888967,,0.0,0.0,0.7878644926702218,235,283.0
6,short_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,-0.04863205874754537,-0.13579299241942255,,-0.12942560589460195,,0.0,0.0,0.7758124532489729,235,283.0
6,short_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.34153613449732706,-0.4984600131941175,,-0.46316238914548136,,0.0,0.0,0.7751445361150515,235,283.0
12,long_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-4.952627364937494,-1.3222608490932244,1.3222608490932244,-1.2665165916909749,1.2665165916909749,0.36363636363636365,0.36363636363636365,0.7902164773152237,229,277.0
12,long_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,-3.882999493886395,-0.9196777902176738,0.9196777902176738,-0.8807265157994654,0.8807265157994654,0.18181818181818182,0.09090909090909091,0.7787132874597987,229,277.0
12,long_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-1.569754054237614,-0.6669568273700387,0.6669568273700387,-0.6608722419592324,0.6608722419592324,0.09090909090909091,0.09090909090909091,0.7742392690490191,229,277.0
12,short_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,2.8066288259345056,1.5861142855826855,,1.4808473366138346,,0.0,0.0,0.8363696409165752,229,277.0
12,short_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,-0.647817774818266,-0.3991691139248699,,-0.35614389718197564,,0.0,0.0,0.8186130019932022,229,277.0
12,short_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.8883127905856422,-0.6278851430487564,,-0.57305539796493,,0.0,0.0,0.8177444182985618,229,277.0
