robustness_method,return_horizon_months,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,coef,expected_signed_hac_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign_flag,theory_consistent_sign_share,theory_consistent_hac_5pct_share,theory_consistent_bootstrap_5pct_share,n_obs,model_count
overlapping_baseline,3,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-1.1095867280858722,1.3627575080581886,1.3575157625906702,True,1.0,0.0,0.0,252.0,1
sentiment_ar1_innovation,3,UNPROFITABLE,prone_minus_safe,non_positive_earnings,0.011808812078097211,-0.01737705476904846,-0.017269049602635245,False,0.0,0.0,0.0,251.0,1
nonoverlapping_horizon_median_offset,3,XTURN,low_minus_high,low_share_turnover,0.7570162941332905,-0.3667542014832685,-0.37744670589878393,False,0.3333333333333333,0.0,0.0,95.0,3
overlapping_baseline,3,XTURN,low_minus_high,low_share_turnover,1.036683740904562,-0.6201487260305242,-0.6326838779560288,False,0.0,0.0,0.0,286.0,1
sentiment_ar1_innovation,3,XTURN,low_minus_high,low_share_turnover,-1.2145505700578245,0.8933216984818328,0.8395784794625146,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,age,low_minus_high,young_firms,-0.750074976527814,0.45669108657835983,0.4089429185040731,True,1.0,0.0,0.0,95.0,3
overlapping_baseline,3,age,low_minus_high,young_firms,-1.0564517219856182,0.7922248448711565,0.7448901207800737,True,1.0,0.0,0.0,286.0,1
sentiment_ar1_innovation,3,age,low_minus_high,young_firms,-1.2858362293794037,1.1443405078455733,1.0885544998956385,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,risk,high_minus_low,high_total_volatility,-6.776431462581879,2.946511641674968,2.807558805922044,True,1.0,1.0,0.6666666666666666,95.0,3
overlapping_baseline,3,risk,high_minus_low,high_total_volatility,-6.493914795755549,3.559900218081847,3.4759732873420925,True,1.0,1.0,1.0,286.0,1
sentiment_ar1_innovation,3,risk,high_minus_low,high_total_volatility,-2.165964144438915,1.39581702951299,1.4181749681869489,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,6,E_plus_BE,low_minus_high,low_profitability,0.5046681763835206,-0.05816673377259836,-0.08748170530803773,True,0.5,0.0,0.0,41.0,6
overlapping_baseline,6,E_plus_BE,low_minus_high,low_profitability,0.4082646724744163,-0.17723811808533294,-0.17575003259082705,False,0.0,0.0,0.0,247.0,1
sentiment_ar1_innovation,6,E_plus_BE,low_minus_high,low_profitability,0.3244319365010619,-0.2194329471425069,-0.21090724058604218,False,0.0,0.0,0.0,247.0,1
nonoverlapping_horizon_median_offset,6,GS,high_minus_low,high_sales_growth,-1.9229154351682864,0.44743441452834787,0.38988668022665096,True,0.8333333333333334,0.0,0.0,39.0,6
overlapping_baseline,6,GS,high_minus_low,high_sales_growth,-1.4146249607798316,0.5532314225197918,0.5377616961905896,True,1.0,0.0,0.0,235.0,1
sentiment_ar1_innovation,6,GS,high_minus_low,high_sales_growth,-2.3001370849687865,1.423509321340253,1.3306768061590963,True,1.0,0.0,0.0,235.0,1
