country_code,month_end_date,CCI,DIV_PREMIUM,ED_RATIO,ESI,NIPO,NIPO_FUNDAMENTALS_AUDIT,RIPO,RIPO_OBSERVED_FLAG,TURN,ESI_L1,CCI_L1,TURN_L1,NIPO_L1,RIPO_L1,ED_RATIO_L1,DIV_PREMIUM_L1,sent_stage1,ESENT_REEST_DIV_PREMIUM,ESENT_PUBLISHED_BASE_WEIGHTS_DIV_PREMIUM,RSENT_REEST_DIV_PREMIUM,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM,sentiment_raw_div_premium,sentiment_orth_div_premium,s0_div_premium,s0_div_premium_lag
SWE,2006-10-31,0.009328358208955168,-0.11326702752690743,0.24708440403241747,-0.0062893081761006275,0.0,0.0,,0.0,-2.5886533252989654,-0.015370705244122873,0.006469500924214389,-2.8331345648568798,2.0,-0.4234,0.2434156078087727,-0.2026032388478647,0.23515746072773114,-0.04570198925185555,-0.8933972104589043,-0.34748229737294317,-0.04570198925185555,-0.34748229737294317,-0.04570198925185555,-0.34748229737294317,0.0,0.0
SWE,2006-11-30,-0.00464252553389044,-0.19524116957676463,0.24745125210333563,0.016438356164383494,1.0,2.0,0.048387096774193505,1.0,-2.768855148514884,-0.0062893081761006275,0.009328358208955168,-2.5886533252989654,0.0,,0.24708440403241747,-0.11326702752690743,0.27629365094718455,0.12438187824679281,,-0.0838460163553511,0.12438187824679281,-0.0838460163553511,0.12438187824679281,-0.0838460163553511,1.0,0.0
SWE,2006-12-31,0.015080113100848447,-0.2107074328479297,0.24745125210333563,-0.001823154056517784,1.0,3.0,0.0091,1.0,-2.8339018365573745,0.016438356164383494,-0.00464252553389044,-2.768855148514884,1.0,0.048387096774193505,0.24745125210333563,-0.19524116957676463,0.20724253842434553,0.10788916661818213,-0.5812308273749995,-0.3079303431088445,0.10788916661818213,-0.3079303431088445,0.10788916661818213,-0.3079303431088445,1.0,1.0
SWE,2007-01-31,-0.023919043238270543,-0.13493554030142696,0.24745125210333563,-0.010820559062218238,0.0,1.0,,0.0,-2.6099670465845586,-0.001823154056517784,0.015080113100848447,-2.8339018365573745,1.0,0.0091,0.24745125210333563,-0.2107074328479297,0.22738398339932706,0.10913891600921441,-0.7449765725466465,-0.40089428291380047,0.10913891600921441,-0.40089428291380047,0.10913891600921441,-0.40089428291380047,1.0,1.0
SWE,2007-02-28,0.008348794063079756,-0.10000391166072764,0.2558460829964693,0.014638609332113584,0.0,0.0,,0.0,-2.4872159798877234,-0.010820559062218238,-0.023919043238270543,-2.6099670465845586,0.0,,0.24745125210333563,-0.13493554030142696,0.3213827059383031,-0.16558136058837492,,-0.2820179335514272,-0.16558136058837492,-0.2820179335514272,-0.16558136058837492,-0.2820179335514272,0.0,1.0
SWE,2007-03-31,-0.04517271922054922,-0.11223095153766205,0.2558460829964693,-0.04374453193350836,0.0,0.0,,0.0,-2.553204056810361,0.014638609332113584,0.008348794063079756,-2.4872159798877234,0.0,,0.2558460829964693,-0.10000391166072764,0.4310446471519106,0.291467911519669,,-0.11780500652152896,0.291467911519669,-0.11780500652152896,0.291467911519669,-0.11780500652152896,1.0,0.0
SWE,2007-04-30,0.03768382352941191,-0.1473868962970375,0.2613354240167255,0.017809439002671512,0.0,0.0,,0.0,-2.8000854855824096,-0.04374453193350836,-0.04517271922054922,-2.553204056810361,0.0,,0.2558460829964693,-0.11223095153766205,0.1756630603333889,-0.5227954911740819,,-0.2584399222211771,-0.5227954911740819,-0.2584399222211771,-0.5227954911740819,-0.2584399222211771,0.0,1.0
SWE,2007-05-31,-0.02333931777378817,-0.19521325494719877,0.21681626989289274,-0.003549245785270716,1.0,1.0,0.09770114942528729,1.0,-2.672056317268771,0.017809439002671512,0.03768382352941191,-2.8000854855824096,0.0,,0.2613354240167255,-0.1473868962970375,0.2787142804089098,0.4588627197602203,,-0.24696350807668588,0.4588627197602203,-0.24696350807668588,0.4588627197602203,-0.24696350807668588,1.0,0.0
SWE,2007-06-30,0.003603603603603567,-0.16313946793523226,0.21681626989289274,0.0,1.0,4.0,0.2162,1.0,-2.8404396484774543,-0.003549245785270716,-0.02333931777378817,-2.672056317268771,1.0,0.09770114942528729,0.21681626989289274,-0.19521325494719877,0.10700190496770359,-0.14875324482473615,-0.5411541539919981,-0.4195861519123882,-0.14875324482473615,-0.4195861519123882,-0.14875324482473615,-0.4195861519123882,0.0,1.0
SWE,2007-07-31,0.020220588235294157,-0.12344389339563322,0.21227816931306784,0.01623083859332719,1.0,1.0,0.5244,1.0,-2.849666365254175,0.0,0.003603603603603567,-2.8404396484774543,1.0,0.2162,0.21681626989289274,-0.16313946793523226,0.12411854571788028,0.06757854125657661,-0.5374673839140829,-0.4121749366538167,0.06757854125657661,-0.4121749366538167,0.06757854125657661,-0.4121749366538167,1.0,0.0
SWE,2007-08-31,0.026415094339622636,0.04488686422014565,0.21183747828665847,0.020239190432382648,0.0,0.0,,0.0,-2.7889506315559647,0.01623083859332719,0.020220588235294157,-2.849666365254175,1.0,0.5244,0.21227816931306784,-0.12344389339563322,0.2059951011987058,0.24951556222733623,-0.5645318022594005,-0.5165422190515921,0.24951556222733623,-0.5165422190515921,0.24951556222733623,-0.5165422190515921,1.0,1.0
SWE,2007-09-30,-0.02304147465437789,0.17523657744521182,0.21183747828665847,-0.01361161524500909,0.0,0.0,,0.0,-2.922759108876021,0.020239190432382648,0.026415094339622636,-2.7889506315559647,0.0,,0.21183747828665847,0.04488686422014565,0.2108704422906352,0.3708156270592315,,-0.36596920667136684,0.3708156270592315,-0.36596920667136684,0.3708156270592315,-0.36596920667136684,1.0,1.0
SWE,2007-10-31,0.018779342723004744,0.1677622052598846,0.2228511577117643,0.025116279069767433,2.0,2.0,-0.006756756756756743,1.0,-2.4015905180147685,-0.01361161524500909,-0.02304147465437789,-2.922759108876021,0.0,,0.21183747828665847,0.17523657744521182,0.32105327040134923,-0.20422007932340866,,-0.5295652984247982,-0.20422007932340866,-0.5295652984247982,-0.20422007932340866,-0.5295652984247982,0.0,1.0
SWE,2007-11-30,0.013320647002854402,0.18140192344572958,0.22107753189043397,0.002798507462686617,2.0,2.0,0.0024999999999999467,1.0,-2.7594504622710017,0.025116279069767433,0.018779342723004744,-2.4015905180147685,2.0,-0.006756756756756743,0.2228511577117643,0.1677622052598846,0.5843870833264478,0.5443164331826019,-0.36514013470713275,-0.02438841896068071,0.5443164331826019,-0.02438841896068071,0.5443164331826019,-0.02438841896068071,1.0,0.0
SWE,2007-12-31,0.02938295788442713,0.22804148506810207,0.22107753189043397,0.032755298651252485,0.0,1.0,,0.0,-3.14573464188102,0.002798507462686617,0.013320647002854402,-2.7594504622710017,2.0,0.0024999999999999467,0.22107753189043397,0.18140192344572958,0.22361557970190435,0.19352453465995895,-0.7177725949542959,-0.4776859180170992,0.19352453465995895,-0.4776859180170992,0.19352453465995895,-0.4776859180170992,1.0,1.0
