month_end_date,return_horizon_months,HML,RMRF,SMB,UMD,country_code,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,SENT_DIV_PREMIUM_lag
2014-02-28,3,12.174865974598447,7.335530269879209,-14.075330674801734,0.1143798932480733,SWE,-0.06601974761488258,0.06078454126951463,-0.09869502268697902,-0.3507507760622072,-0.09271215553015462,-0.38269208147643863
2014-02-28,6,8.352421043213564,8.876011154841335,-17.193792629553386,5.626125828048156,SWE,-0.06601974761488258,0.06078454126951463,-0.09869502268697902,-0.3507507760622072,-0.09271215553015462,-0.38269208147643863
2014-02-28,12,9.177878236654546,24.46794944583013,-32.27412731915699,15.51978112166401,SWE,-0.06601974761488258,0.06078454126951463,-0.09869502268697902,-0.3507507760622072,-0.09271215553015462,-0.38269208147643863
2014-03-31,1,3.0006014439177164,0.3412609073170758,-5.317609514013466,-2.1064259000845076,SWE,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559,-0.06601974761488258,0.06078454126951463,-0.09869502268697902
2014-03-31,3,7.12656667183873,5.0762103516233115,-15.11111220913801,3.036174850024298,SWE,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559,-0.06601974761488258,0.06078454126951463,-0.09869502268697902
2014-03-31,6,1.7405460475297119,3.62161721914811,-17.27466174519271,3.8350025652091446,SWE,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559,-0.06601974761488258,0.06078454126951463,-0.09869502268697902
2014-03-31,12,6.928781848261356,27.33401890075966,-32.18325785316962,16.29971520596678,SWE,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559,-0.06601974761488258,0.06078454126951463,-0.09869502268697902
2014-04-30,1,4.326646452879013,1.1387712560607,-5.80456588472007,1.4794189275875835,SWE,-0.45590303585710934,-0.29883764391853196,-0.573167830513615,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559
2014-04-30,3,-0.09400165709069208,3.3786717872180905,-11.1717359699104,6.110678204652742,SWE,-0.45590303585710934,-0.29883764391853196,-0.573167830513615,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559
2014-04-30,6,-2.8897921481538247,3.145352645082422,-15.899732962652035,13.215235511368784,SWE,-0.45590303585710934,-0.29883764391853196,-0.573167830513615,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559
2014-04-30,12,4.034480962212994,26.74760639394178,-26.51094437777183,21.42834756904255,SWE,-0.45590303585710934,-0.29883764391853196,-0.573167830513615,-0.37691970087462295,-0.46017419328982634,-0.4885908594111559
2014-05-31,1,-0.3075708566288804,3.539764788082378,-4.818668184406727,3.718820843024795,SWE,-0.6128744068662705,-0.31394553770997197,-0.5766708806478005,-0.45590303585710934,-0.29883764391853196,-0.573167830513615
2014-05-31,3,-3.407576998799766,1.4352012619575527,-3.629297591997982,5.505448808330282,SWE,-0.6128744068662705,-0.31394553770997197,-0.5766708806478005,-0.45590303585710934,-0.29883764391853196,-0.573167830513615
