sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return
ME,continuous,low_minus_high,small_firms,2018-02-28,P10_P01,-5.674239011509015
ME,continuous,low_minus_high,small_firms,2018-03-31,P10_P01,5.596929038374558
ME,continuous,low_minus_high,small_firms,2018-04-30,P10_P01,8.431653886157857
ME,continuous,low_minus_high,small_firms,2018-05-31,P10_P01,2.6454780751963103
ME,continuous,low_minus_high,small_firms,2018-06-30,P10_P01,-7.340913741163399
ME,continuous,low_minus_high,small_firms,2018-07-31,P10_P01,4.813791456506738
ME,continuous,low_minus_high,small_firms,2018-08-31,P10_P01,-0.4629779804111145
ME,continuous,low_minus_high,small_firms,2018-09-30,P10_P01,0.012709131489543113
ME,continuous,low_minus_high,small_firms,2018-10-31,P10_P01,-0.07817586728279391
ME,continuous,low_minus_high,small_firms,2018-11-30,P10_P01,0.8245404175714199
ME,continuous,low_minus_high,small_firms,2018-12-31,P10_P01,0.7077702972629831
ME,continuous,low_minus_high,small_firms,2019-01-31,P10_P01,5.79933172886061
ME,continuous,low_minus_high,small_firms,2019-02-28,P10_P01,4.817939463667168
ME,continuous,low_minus_high,small_firms,2019-03-31,P10_P01,-3.505458386737895
ME,continuous,low_minus_high,small_firms,2019-04-30,P10_P01,2.9920602850207865
ME,continuous,low_minus_high,small_firms,2019-05-31,P10_P01,-2.470899527016437
ME,continuous,low_minus_high,small_firms,2019-06-30,P10_P01,5.899417310124537
ME,continuous,low_minus_high,small_firms,2019-07-31,P10_P01,-1.5033141689611764
ME,continuous,low_minus_high,small_firms,2019-08-31,P10_P01,-2.8704211996014686
ME,continuous,low_minus_high,small_firms,2019-09-30,P10_P01,1.4108578086315644
ME,continuous,low_minus_high,small_firms,2019-10-31,P10_P01,-0.6997270867760594
ME,continuous,low_minus_high,small_firms,2019-11-30,P10_P01,5.497668067568863
ME,continuous,low_minus_high,small_firms,2019-12-31,P10_P01,1.8095761991070973
ME,continuous,low_minus_high,small_firms,2020-01-31,P10_P01,-11.154411631150113
ME,continuous,low_minus_high,small_firms,2020-02-29,P10_P01,-1.349881642939482
ME,continuous,low_minus_high,small_firms,2020-03-31,P10_P01,-7.074207060249551
ME,continuous,low_minus_high,small_firms,2020-04-30,P10_P01,4.9311965382633645
ME,continuous,low_minus_high,small_firms,2020-05-31,P10_P01,-1.3611143066618032
ME,continuous,low_minus_high,small_firms,2020-06-30,P10_P01,-11.479740262089399
ME,continuous,low_minus_high,small_firms,2020-07-31,P10_P01,-1.3397660917557266
ME,continuous,low_minus_high,small_firms,2020-08-31,P10_P01,-5.718826133376953
ME,continuous,low_minus_high,small_firms,2020-09-30,P10_P01,5.649958302011392
ME,continuous,low_minus_high,small_firms,2020-10-31,P10_P01,-2.348570829148123
ME,continuous,low_minus_high,small_firms,2020-11-30,P10_P01,11.158650707138788
ME,continuous,low_minus_high,small_firms,2020-12-31,P10_P01,-2.291020106769472
ME,continuous,low_minus_high,small_firms,2021-01-31,P10_P01,-3.7414045337200563
ME,continuous,low_minus_high,small_firms,2021-02-28,P10_P01,-1.4583727463723353
ME,continuous,low_minus_high,small_firms,2021-03-31,P10_P01,-17.310549314816193
ME,continuous,low_minus_high,small_firms,2021-04-30,P10_P01,-2.9264330751918646
ME,continuous,low_minus_high,small_firms,2021-05-31,P10_P01,-2.7797487580584024
ME,continuous,low_minus_high,small_firms,2021-06-30,P10_P01,-2.7876055230418526
ME,continuous,low_minus_high,small_firms,2021-07-31,P10_P01,7.990905408714031
ME,continuous,low_minus_high,small_firms,2021-08-31,P10_P01,3.7598094404098026
ME,continuous,low_minus_high,small_firms,2021-09-30,P10_P01,-10.842447959905767
ME,continuous,low_minus_high,small_firms,2021-10-31,P10_P01,10.347093225699588
ME,continuous,low_minus_high,small_firms,2021-11-30,P10_P01,0.8488016099001394
ME,continuous,low_minus_high,small_firms,2021-12-31,P10_P01,1.3828527026162911
ME,continuous,low_minus_high,small_firms,2022-01-31,P10_P01,-8.57317244718607
ME,continuous,low_minus_high,small_firms,2022-02-28,P10_P01,4.160994317725271
ME,continuous,low_minus_high,small_firms,2022-03-31,P10_P01,-1.9685831734285002
ME,continuous,low_minus_high,small_firms,2022-04-30,P10_P01,1.4760566933200998
ME,continuous,low_minus_high,small_firms,2022-05-31,P10_P01,2.589855686613466
ME,continuous,low_minus_high,small_firms,2022-06-30,P10_P01,-3.5853862098443763
ME,continuous,low_minus_high,small_firms,2022-07-31,P10_P01,7.885823966693327
ME,continuous,low_minus_high,small_firms,2022-08-31,P10_P01,-6.026800756185926
ME,continuous,low_minus_high,small_firms,2022-09-30,P10_P01,1.1064747008509812
ME,continuous,low_minus_high,small_firms,2022-10-31,P10_P01,9.192028362245296
ME,continuous,low_minus_high,small_firms,2022-11-30,P10_P01,9.556430798606144
