sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-10-31,P10,-3.8416275368631294
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P01,-0.19003869601096884
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P02,-2.817993201965153
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P03,0.984342540466655
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P04,-1.8628243878703672
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P05,-6.128069038389558
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P06,-6.170964237325688
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P07,-6.4837723225753106
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P08,-7.836551833936549
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P09,-0.9610294597475098
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-11-30,P10,-11.29101367361422
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P01,0.13370407059293316
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P02,2.0298056191972393
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P03,-0.5114232376401501
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P04,-2.6773244491623664
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P05,0.682517299082927
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P06,-1.8419024923575962
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P07,-6.782073439746537
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P08,-3.230573163593285
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P09,0.6805168558431748
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2024-12-31,P10,0.7323214810628002
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P01,7.491128240566908
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P02,2.937274059021556
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P03,0.5648339484278306
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P04,2.68030584563563
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P05,5.518623239609799
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P06,3.8425823408032005
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P07,7.880522169614763
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P08,2.9393345908724187
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P09,1.7742118288025508
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-01-31,P10,0.8850571122273165
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P01,1.1323002809512575
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P02,-0.6386605781655724
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P03,-0.5149416267018098
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P04,4.245500544081119
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P05,1.1137417205672682
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P06,-2.0496336031623272
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P07,0.9517319160117917
