country_code,month_end_date,eligible_rows,payer_count,nonpayer_count,payer_market_cap,nonpayer_market_cap,payer_mb_value_weight,nonpayer_mb_value_weight,DIV_PREMIUM_VW,raw_value,min_group_count,dividend_premium_status
SWE,2002-06-30,258,123,135,1038649.0838460403,142032.6955339388,2.6343531579519146,2.4710019480056316,0.06401395565156476,0.06401395565156476,10,ok
SWE,2002-07-31,257,123,134,939400.1089171803,134270.0659801572,2.4656837290147697,2.0667319221579605,0.1765005657650508,0.1765005657650508,10,ok
SWE,2002-08-31,256,123,133,925608.3074971504,126931.66519497,2.406689869656802,2.0431584218945735,0.16375544873614012,0.16375544873614012,10,ok
SWE,2002-09-30,263,124,139,813005.816884061,129639.81324180998,2.194399578280518,1.6833224193120369,0.2651389974402467,0.2651389974402467,10,ok
SWE,2002-10-31,262,124,138,863710.9369953087,148133.218082304,2.230492447990511,1.7103664253201971,0.2655147584162042,0.2655147584162042,10,ok
SWE,2002-11-30,260,123,137,959948.8687846985,169430.489635584,2.4321250800624292,1.9348305840695585,0.228745624531824,0.228745624531824,10,ok
SWE,2002-12-31,264,134,130,889545.0305317491,126101.265593646,2.306771408559039,1.6048991440783285,0.36278797223831255,0.36278797223831255,10,ok
SWE,2003-01-31,262,133,129,957448.9375012431,120308.7627986192,2.3474701316114754,1.549403179134932,0.4154683974685282,0.4154683974685282,10,ok
SWE,2003-02-28,262,133,129,964883.3927651627,121157.4865874816,2.307971676662696,1.5967694655030558,0.3683865726736018,0.3683865726736018,10,ok
SWE,2003-03-31,261,132,129,949356.0078133591,121677.38116681919,2.232335132868304,1.611932468154573,0.3256144323798236,0.3256144323798236,10,ok
SWE,2003-04-30,260,131,129,1034030.7329739146,132659.33498632,2.3951135392389995,1.9987990209493383,0.18088412585101765,0.18088412585101765,10,ok
SWE,2003-05-31,259,132,127,1033601.3890363709,138786.3672043468,2.302746639817601,2.127410665147715,0.07919701162707338,0.07919701162707338,10,ok
SWE,2003-06-30,258,132,126,1061297.9110685957,146581.82827222598,2.166717770126507,1.9679233402615028,0.09623462941535121,0.09623462941535121,10,ok
SWE,2003-07-31,254,130,124,1093634.4574077472,151687.7417830952,2.2257182086633245,2.0474425261964484,0.0834881878256839,0.0834881878256839,10,ok
SWE,2003-08-31,253,130,123,1110234.652189761,165915.88850222438,2.2573910056627717,2.235675021678109,0.009666518564491855,0.009666518564491855,10,ok
SWE,2003-09-30,253,132,121,1085048.375443261,164519.604689344,2.2092601358307555,2.3052027183630672,-0.04251094049938531,-0.04251094049938531,10,ok
SWE,2003-10-31,250,132,118,1169744.4619943248,173232.0898088134,2.2968707866047766,2.3553249119430193,-0.0251310157925958,-0.0251310157925958,10,ok
