sort_variable,characteristic,sentiment_prone_direction,sentiment_prone_interpretation,return_horizon_months,n_obs,sentiment_only_coef,factor_adjusted_coef,coef_change,sentiment_only_t,factor_adjusted_t,sentiment_only_r2,factor_adjusted_r2,delta_r2,sentiment_sign_change,hac_lags
ILLIQ,Illiquidity,high_minus_low,high_amihud_illiquidity,6,283,3.858529844924874,-1.3169289995239537,-5.175458844448827,1.468752171170607,-0.6563086482146862,0.0193236659447704,0.6191033696318362,0.5997797036870658,True,5
IVOL_FF3,IVOL (FF3),high_minus_low,high_ff3_idiosyncratic_volatility,6,283,-4.633647933236076,-11.735131283955528,-7.101483350719453,-1.2712486703229593,-4.096381328309547,0.0172583200812866,0.5336068571611748,0.5163485370798881,False,5
ME,Small firms,low_minus_high,small_firms,6,283,-0.5928560517310109,-6.546560593628226,-5.953704541897215,-0.1864010595945717,-2.413490532114786,0.0002821403408388,0.4896751550641411,0.4893930147233023,False,5
NON_D_PAYER,Non-dividend payer,prone_minus_safe,non_dividend_payers,6,283,0.2695890510271894,-3.58098877430116,-3.8505778253283496,0.1363160018554024,-2.9072035070440023,0.0002365162022969,0.6364716729471308,0.6362351567448339,True,5
PPE_A,Low tangibility,low_minus_high,low_tangibility,6,283,-6.6911558143316725,-8.337796156053258,-1.6466403417215858,-3.454457333146466,-4.251012966510126,0.107710275521079,0.2073360712732732,0.0996257957521942,False,5
UNPROFITABLE,Unprofitable,prone_minus_safe,non_positive_earnings,6,247,-0.2056131395730669,-2.499932345335984,-2.294319205762917,-0.1162425172470037,-1.866569834755789,0.0001653480275241,0.5839555298370507,0.5837901818095266,False,5
XTURN,Low turnover,low_minus_high,low_share_turnover,6,283,-1.2681936977000778,1.9065985552261904,3.174792252926268,-0.4312434717252881,0.6722170848978253,0.0022359046515763,0.151974030191645,0.1497381255400687,True,5
age,Young firms,low_minus_high,young_firms,6,283,-0.4006437426933065,-2.86157537508054,-2.4609316323872337,-0.169078527970254,-1.2441583053715906,0.0003038027973223,0.2767538405124126,0.2764500377150902,False,5
risk,Total risk,high_minus_low,high_total_volatility,6,283,-5.060354601657116,-12.078322058436097,-7.017967456778981,-1.4663337204988554,-4.342384988862402,0.0235530053048758,0.5824179841625257,0.5588649788576499,False,5
E_plus_BE,Low profitability,low_minus_high,low_profitability,12,241,-0.0048730249841321,0.0753840626441428,0.0802570876282749,-0.0015416226368967,0.0221630262194321,4.5480948562826036e-08,0.1257102598134414,0.1257102143324928,True,11
ILLIQ,Illiquidity,high_minus_low,high_amihud_illiquidity,12,277,2.942872611972352,-2.5779311815029944,-5.520803793475347,0.549767835217529,-0.7247787326488108,0.0043599243485328,0.7291701499919248,0.7248102256433919,True,11
IVOL_FF3,IVOL (FF3),high_minus_low,high_ff3_idiosyncratic_volatility,12,277,-12.13913486488634,-18.422159014155778,-6.283024149269439,-1.708194258094368,-3.795411970417584,0.06026016012261,0.6601216994729506,0.5998615393503406,False,11
ME,Small firms,low_minus_high,small_firms,12,277,-7.862721482898759,-14.03708419010297,-6.174362707204211,-1.370366786914961,-3.1823056782722867,0.0209873841893384,0.6232373673796523,0.6022499831903139,False,11
NON_D_PAYER,Non-dividend payer,prone_minus_safe,non_dividend_payers,12,277,-0.827999200287668,-4.960165554398614,-4.132166354110946,-0.2248643701732417,-2.835007754883711,0.0010806167008683,0.6831515475716836,0.6820709308708153,False,11
PPE_A,Low tangibility,low_minus_high,low_tangibility,12,277,-13.86465563055928,-15.272566799064812,-1.4079111685055317,-4.453027189824366,-4.885587869897479,0.2146146528508137,0.2913043481445878,0.0766896952937741,False,11
UNPROFITABLE,Unprofitable,prone_minus_safe,non_positive_earnings,12,241,-4.085990380937226,-4.856958364637323,-0.7709679837000962,-1.6972403556533586,-3.0799624957532403,0.036401278133011,0.6796113661179938,0.6432100879849827,False,11
XTURN,Low turnover,low_minus_high,low_share_turnover,12,277,0.201013153781128,4.456156500875861,4.255143347094733,0.0472879434831359,1.239244706498698,3.352324736249912e-05,0.2429674611605288,0.2429339379131663,False,11
age,Young firms,low_minus_high,young_firms,12,277,-4.526683493693497,-8.365347151917181,-3.838663658223684,-0.9225794891961974,-2.3130222243503424,0.0170935489465596,0.4484539544245312,0.4313604054779715,False,11
risk,Total risk,high_minus_low,high_total_volatility,12,277,-13.017643278651978,-19.654021763246405,-6.636378484594427,-2.1913365292188605,-4.4833944797851295,0.0821050689713492,0.6342999224043182,0.5521948534329689,False,11
