result_set,sentiment_index_family,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,dependent_variable,model,return_horizon_months,return_leg,sort_variable,portfolio_code,sentiment_prone_direction,sentiment_prone_interpretation,term,coef,std_error,t_stat,n_obs,r2,standard_error_type,hac_lags,bootstrap_std_error,bootstrap_t_stat,bootstrap_p_value,bootstrap_repetitions,bootstrap_block_length,bootstrap_seed,bootstrap_valid_repetitions,sentiment_term_flag,expected_coef_sign,expected_signed_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign,theory_consistent_hac_5pct,theory_consistent_bootstrap_5pct,mechanical_overlap_warning,mechanical_overlap_note
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,IVOL_FF3,P10,high_minus_low,high_ff3_idiosyncratic_volatility,RMRF,1.232684093795974,0.08749772725113239,14.08818414514899,288,0.6927322574623096,HAC_Newey_West,5,0.08836357211812344,13.95013877605735,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,IVOL_FF3,P10,high_minus_low,high_ff3_idiosyncratic_volatility,SMB,1.2844908019461816,0.08665391401084928,14.82322889402734,288,0.6927322574623096,HAC_Newey_West,5,0.09043064986060816,14.2041531707018,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,IVOL_FF3,P10,high_minus_low,high_ff3_idiosyncratic_volatility,HML,0.03253242333591767,0.06458291640516656,0.5037310971189761,288,0.6927322574623096,HAC_Newey_West,5,0.06767396768150405,0.48072286065782277,0.682,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,IVOL_FF3,P10,high_minus_low,high_ff3_idiosyncratic_volatility,UMD,-0.044451075387779856,0.04213086028780663,-1.0550716288279718,288,0.6927322574623096,HAC_Newey_West,5,0.043355622964503515,-1.0252666747326689,0.352,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ME,P01,low_minus_high,small_firms,intercept,1.3790276363677483,0.33255634903644177,4.146748785170941,288,0.5814062550134842,HAC_Newey_West,5,0.33646713767592373,4.098550740773951,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ME,P01,low_minus_high,small_firms,SENT_ORTH_DIV_PREMIUM_lag,-1.1611965900409815,0.7228779730769458,-1.6063521552584084,288,0.5814062550134842,HAC_Newey_West,5,0.712148980608133,-1.6305529062884967,0.086,1000,6,20260510,1000,True,-1.0,1.6063521552584084,1.6305529062884967,True,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ME,P01,low_minus_high,small_firms,RMRF,1.1080302412380933,0.08199820655647784,13.51285946083365,288,0.5814062550134842,HAC_Newey_West,5,0.08505420655474887,13.027342045979362,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ME,P01,low_minus_high,small_firms,SMB,1.1434750866596262,0.08910389378206925,12.83305406895397,288,0.5814062550134842,HAC_Newey_West,5,0.09304342832252477,12.289692106957796,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ME,P01,low_minus_high,small_firms,HML,0.07833865518806216,0.08590357757160469,0.9119370508494037,288,0.5814062550134842,HAC_Newey_West,5,0.08582360066488805,0.9127868626014416,0.364,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ME,P01,low_minus_high,small_firms,UMD,0.03788401781002089,0.050677487084494745,0.7475512301321638,288,0.5814062550134842,HAC_Newey_West,5,0.054925161518238376,0.6897388512447282,0.5,1000,6,20260510,1000,False,,,,False,False,False,False,
