sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return,return_leg,directional_long_code,directional_short_code
ME,continuous,low_minus_high,small_firms,2007-10-31,P10,-1.2212284374857678,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-11-30,P01,-15.09152963684824,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-11-30,P10,-6.753624065426415,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-12-31,P01,-9.680056757968943,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-12-31,P10,-3.263532672711348,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-01-31,P01,3.6468545376862656,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-01-31,P10,-10.858303291491021,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-02-29,P01,3.982625758770761,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-02-29,P10,5.561795153473571,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-03-31,P01,-9.358273759942307,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-03-31,P10,-1.3278051218929776,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-04-30,P01,2.86537713073046,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-04-30,P10,2.7446102360012024,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-05-31,P01,1.960228591101379,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-05-31,P10,2.9537547169846716,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-06-30,P01,-11.495212840582886,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-06-30,P10,-6.680146663571755,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-07-31,P01,-1.8751712144401407,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-07-31,P10,-2.8081281863392538,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-08-31,P01,-2.706350787016237,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-08-31,P10,2.158470595090643,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-09-30,P01,-11.614024918552513,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-09-30,P10,-14.448363363967228,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-10-31,P01,-19.45518770316249,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-10-31,P10,-20.100120047270075,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-11-30,P01,-10.337457789279526,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-11-30,P10,-3.839710494763531,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-12-31,P01,-14.168797064709242,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2008-12-31,P10,6.162523198800209,short_leg,P01,P10
