sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return,long_code,short_code,return_leg
ME,continuous,low_minus_high,small_firms,2005-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,4.899938099053458,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-02-28,SENTIMENT_PRONE_MINUS_INSENSITIVE,1.575139844349951,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,9.482911985282122,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-2.9272655199768924,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,2.811518107951973,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-06-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,3.6233544280674055,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-07-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.961767277244599,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,4.320174777218683,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,8.808837047874867,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.353610306856923,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,1.0760789723387765,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2005-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-1.4127770297625872,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,13.156886281331648,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-02-28,SENTIMENT_PRONE_MINUS_INSENSITIVE,3.36546579115198,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.322237093233821,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.1304353729635315,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-0.8172593689069352,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-06-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.321690323941742,P01,P10,directional_spread
